ADVERTISING FX & CONSULTANTS, , , , , , ,638, , , , , , 
ALEX SUPPORTERS ASSOC INC, , , ,1679,2867,2029,1980, , , ,5010,4450, 
ALLGOOD FABRIC BRIDAL, , , , , , , , , ,511,75, , 
ALTUM CONTRUCTIONS,11881,4166,4040,5076,4002,4377,4879, ,2287,6447,387,4291, 
ANDREWS AIRPORT PARKING (BRISBANE),1440,1561,1034,1497,1517,1047,1629,1506,1434,1847,1416,2283, 
ARISE SOLAR PTY LTD,12777,12512,12512,12512,12606,12607,14907,14299,12216,15384,19654,17214, 
ASSOCIATED RETAILERS,1592, , , , ,659, ,1505,944, , ,991, 
ATP ADV - CRICKS AUTO,8776,3860, , , , , , , , , , , 
ATP ADV - CRICKS HONDA, , , , , , , , ,6914,10405,6978,13663, 
ATP ADV - CRICKS SUBARU, ,7796,6307, , , , , , , , , , 
ATP ADV - CRICKS VW COMMERCIAL,6338,3113, , , , , , , , , , , 
ATP ADV - CRICKS VW PASSENGER, , ,5947,4019,6589,6098,5285,3817,5095,5083,5113, , 
ATP ADV - CRICKS WISES ROAD, , , ,5013,9000,6641, , , , , , , 
ATP ADV - MERCEDES, , , , , , , , ,2046,2030,2063,2162, 
AUSTRALIAN EVENTS MARKETING PTY LTD, , , ,8274,3155,2137,6591,9733, , , , , 
AUSTRALIAN PSYCHIC EXPO,2592,1346,820, , ,4035,786,2611,4034,80, ,719, 
BEDS N DREAMS,2867, , , , , , , , , , , , 
BEDS R US,13657, ,16400,282, ,7718,7885, , ,8918,10985,3362, 
BI-RITE ELECTRICAL, , , , , , , , , , ,6400, , 
BIG KART TRACK,1313, , , , , ,1887, ,648,660, ,2702, 
BLI BLI VILLAGE,4024,2510, , , , , , ,4020, , , , 
BRAND DEVELOPERS,105460,87304,84998,102849,86087,80088,90357,62237,62192,83958,77400,90531, 
BSR FRANCHISING PTY LTD,4354,11588,18585,16814,26332,14106,15594,19096,12103,17712,22509,15674, 
CBD SETTLERS COVE, , , ,7914, , , , ,4457,4323, , , 
CHEMPRO CHEMISTS,3517, , , , , , , , , , , , 
COX INDUSTRIES AUSTRALIA PTY LTD,2561,5760,5717,718, , , , , , , , , 
DRAINS KLEEN PTY LTD,2965,2585,2938,2738,2231,2328,2818,1969,2815,2621,3039,2934, 
FLOORING XTRA, , , ,3583,2054, , , , , , , , 
FORTY WINKS KAWANA,3447,4983,4558,4594,4892,4880,3214,4087, ,4357, ,1154, 
GATEWAY AIRPORT PARKING PTY LTD,466,937,1110,948,1106,487,1169,1028,863,1029,1023,1660, 
GINGER FACTORY THE, , , , , , , , ,984,1106, , , 
GLOBAL LIVING FURNITURE,5595,3757,1963,3341,2522,4766,2931, , , ,5810,1249, 
GO TRANSIT, , ,3019,6282, , , , , , ,3670,3415, 
GOOD PRICE PHARMACY,710,2294,690,2083,1718,1737,2732,1494,1486,2271,1562,1113, 
GRANT BROADCASTERS (HOT 91.1 ZINC 96.1), , , , , , ,5821,258, , , , , 
GUZMAN Y GOMEZ, , , , , , , , , , , ,1723, 
HARLEQUIN BLINDS & SECURITY, , ,141,747,3030,3030,3333, , , , , , 
HINDOLE PTY LTD, , , , , , ,8728,4459, , , , , 
HOGS BREATH,7059,4672,4714,4714,4697,2472,1857,3683,2144,3983,2129,2379, 
HOGS BREATH CAFE HEAD OFFICE,18423,6666,1747,1262, , ,25803, , , ,14460,13749, 
HOLIDAY INN EXPRESS BRISBANE CENTRAL, , , , ,3771,1353, , , , , ,6988, 
HOME CARE ASSISTANCE SUNSHINE COAST, , , , , , , , ,988,75,75, , 
HOWARDS STORAGE - M'DORE,1120, , , , , , , , , , , , 
HUNT PROJECT MANAGEMENT,280, , , , , , , , , ,858,2073, 
IGA BLI BLI, , , , , , , , , ,262,3782, , 
IMMANUEL LUTHERAN COLLEGE, ,3094, , , , , , , , , , , 
ING GARDEN VILLAGES,2790, ,2210,2210,3315, , , , , , , , 
INGENIA HOLIDAYS, , , , , , , , ,1934,659,1479,1729, 
IRONBARK TIMBERS, , , , , , , , ,1692, , ,4226, 
Incl.Non Airtime,850, , ,2250,1550, ,1850,350, ,410, , , 
JACK LINKS AUSTRALIA, , ,5073,1228, , , , , , , , , 
JM SUNSHINE COAST COMPUTERS,24578,14048,12893,14534,11035,19767,14069,11620,12102,16815,16101,23211, 
JM SUNSHINE COAST ELECTRICAL,40954,29334,25879,28217,25604,34075,29522,24102,32542,36533,32814,33489, 
KEN MILLS TOYOTA, , , , , , , , ,1692, , , , 
KRATZMANNS CARAVANS, , , , , , , , , , , ,5967, 
LA Z BOY FURNITURE GALLERY,5782, , , , ,2834, , , , , , , 
LIME OCCUPATIONAL THERAPY, , , , ,701,2573,3304,1896, , , , , 
MAHINDRA,14931,11646, ,2086,2309,2160,1068,1432,1374,2399,982, , 
MAJESTIC CARAVANS,8062, , , , , , , , , , , , 
MALENY BOTANICAL GARDENS, , , ,2232,3158, , , , , , , , 
MAROOCHY URBAN RENEWAL,320, , , , , , , , , , , , 
MARY VALLEY RATTLER,1887,2553,2262,8419,1815,1278,10173,5039,4090,1911, , , 
MCDONALDS - SQ,437,24835,33055,36567,27902,22928,25385,25422,42600,79787,49517,28649, 
MELLEN EVENTS / LLOYD EVENTS,561,3037,1544,1721, , , , , ,2330, , , 
METAGENICS (AUST) PTY LTD,250,2100,1650,1358, , , , , , , , , 
MICKS MEAT BARN, , , , , , , , , , , ,1340, 
MR TOYS TOYWORLD,336,338,336, , , , , , , , , , 
NARELLAN POOLS,5595,4019, ,4522,105,4405, , , , , , , 
NARTA, , ,8307,3982,7675,10088, ,3300,5802, , , , 
NATUZZI ITALIA QLD, , , , , ,2080,589, , , , , , 
NCP, , , , , , , , ,1692, , , , 
NOOSACARE INC,2252, ,1198,3234, , , , , , , , , 
OAK TREE RETIREMENT HOMES,3366,4647,3840, , , , , , , , , , 
OZ DESIGN FURNITURE,4062,5695,4628,7043,5014,5910,6590,5417,5633,8893,4364,4661, 
PACIFIC GYMPIE, , , , , , , , , , , ,4024, 
PACIFIC LUTHERAN COLLEGE, , , ,1135, , , , , , , , , 
PARKTHORN PROPERTIES PTY LTD, , , , , , , ,3504, , , , , 
PREMIER ARTISTS, , ,1900,1185,2651,15648, , ,1574,6541, , , 
Page 1 of 1, , , , , , , , , , , , , 
R & J BATTERIES, , , ,5210,3875, , , , , , , , 
RED WHITE GREEN,247,4146,3643, ,4226,3113,200, ,5903,1188,7508,6970, 
REGIONAL TOURING, , ,1208,13170, ,1599,3409, , , , ,10602, 
RESEMBLE PTY LTD (COSMOPOLITAN),2950,2265, , , , , , , ,2099, , , 
RIVERSHORE RESORT, , ,2310,1803,5316,3200,1635, , , , , , 
Representative, , , , , , , , , , , , , 
Representative Tanya Bourne, , , , , , , , , , , , , 
SEARLES GARDEN PRODUCTS,6062, , , , , , , , , , , , 
SEVENTEEN SEVENTY BEACH PTY LTD, , , , ,1101,3417,3534,1256, , , , , 
SHAVER SHOP MAROOCHYDORE,11111,5744, , , , , , , , , , , 
SHOWBAG WAREHOUSE, , , , , ,781, , , , , , , 
SITTING AROUND MAROOCHYDORE, , ,47,94, ,606,303, ,888,224,564, , 
SMART AUTOMOTIVE TECHNOLOGY, , ,101,191,189,175,140,122,734,500,362, , 
SOUND IN MOTION,4017,3012,3274, , , , , , , , , , 
SOUTHBANK AT OCEANSIDE,6343,3060, , , , , , , , , , , 
SPITWATER QLD, , , , , , , , ,7492, , , , 
SUNCITY BOWL,1610, , , , , ,605, ,453,453,403, , 
SUNCO MOTORS P/L,6877,5862,5035, ,4841,7557,9958,8427,5390,6449,13015,11995, 
SUNCOAST CARAVAN SERVICE,1876,3036,2052,2310,2332,3006,3012,2358,2327,2734,1982, , 
SUNSHINE COAST BROADCASTERS, , , , , , ,16657,16, , , , , 
SUNSHINE COAST DAILY, , , ,3180, , , , , , , , , 
SUNSHINE COAST MAZDA,2279, ,1938,1090, ,6055, , ,3007, , ,1389, 
SUNSHINE COAST TURF CLUB, , , , , , , , ,4092,4419, , , 
SUNSHINE TOYOTA,2014, , , , , , , , , , , , 
SUNSTATE GLASS,965,2968,3185,2677,3155,3015,3289,3014,3042,4119,1906,1840, 
SUPERESTATE PTY LTD, , ,13052,2987, , , , , , , , , 
SUPERIOR GARAGES & INDUSTRIAL, , ,1004,980,1003,995,167,901,988,150, , , 
TAPS R US, , ,235,94,1757,1949,2584,1470, , , , , 
THINKWATER, , , , , , ,1484,4682,5004,5763, , , 
TOTAL TOOLS HEAD OFFICE (ROCKHAMPTON), , , , , , , , , , , ,9839, 
TRAVEL AUCTIONS AUSTRALIA, , , , , , , ,558, , , , , 
TW & CM PTY LTD, , ,12580,4836,5225,4204,1812,10681,7275,8939,8698, , 
Total Airtime,391643,308228,331679,355234,302480,326013,350313,248447,289986,369524,352932,353335, 
Total Airtime + Incl.Non Air.,392493,308228,331679,357484,304030,326013,352163,248797,289986,369934,352932,353335, 
Total Tanya Bourne,391643,308228,331679,355234,302480,326013,350313,248447,289986,369524,352932,353335, 
User: Roylene Morris, , , , , ,Produced Using IBMS, , , , , , , 
VANTAGE HOLDINGS AUSTRALIA, , , , , , , , ,1558,2121,2008,498, 
VANTAGE HOMES,470, , , , , , , , , , , , 
VERGOLA, , , , , , , ,1448,1436,1436,1575,1297, 
YAMAHA DEALERS, , , , , , , , , , ,15256,5130, 
YANDINA TRAILER FABRICATION,4042,4442, , , , , , , , , , , 
